Plate	Sample	Well	Flag	Comment
6	1	A01	NA	Contamination
6	2	A01	NA	Contamination
6	1	A02	NA	Contamination
6	2	A02	NA	Contamination
6	1	A03	NA	Contamination
6	2	A03	NA	Contamination
6	1	A04	NA	Contamination
6	2	A04	NA	Contamination
6	1	A05	NA	Contamination
6	2	A05	NA	Contamination
6	1	A06	NA	Contamination
6	2	A06	NA	Contamination
6	1	A07	NA	Contamination
6	2	A07	NA	Contamination
6	1	A08	NA	Contamination
6	2	A08	NA	Contamination
6	1	A09	NA	Contamination
6	2	A09	NA	Contamination
6	1	A10	NA	Contamination
6	2	A10	NA	Contamination
6	1	A11	NA	Contamination
6	2	A11	NA	Contamination
6	1	A12	NA	Contamination
6	2	A12	NA	Contamination
6	1	A13	NA	Contamination
6	2	A13	NA	Contamination
6	1	A14	NA	Contamination
6	2	A14	NA	Contamination
6	1	A15	NA	Contamination
6	2	A15	NA	Contamination
6	1	A16	NA	Contamination
6	2	A16	NA	Contamination
6	1	A17	NA	Contamination
6	2	A17	NA	Contamination
6	1	A18	NA	Contamination
6	2	A18	NA	Contamination
6	1	A19	NA	Contamination
6	2	A19	NA	Contamination
6	1	A20	NA	Contamination
6	2	A20	NA	Contamination
6	1	A21	NA	Contamination
6	2	A21	NA	Contamination
6	1	A22	NA	Contamination
6	2	A22	NA	Contamination
6	1	A23	NA	Contamination
6	2	A23	NA	Contamination
6	1	A24	NA	Contamination
6	2	A24	NA	Contamination
