SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller,PeakFormat,ScoreCol,LowerBetter
BT474.1-,BT474,ER,Resistant,Full_Media,1,reads/Chr18_BT474_ER_1.bam,BT474c,reads/Chr18_BT474_input.bam,peaks/BT474_ER_1.bed.gz,MACS,bed,5,F
BT474.2-,BT474,ER,Resistant,Full_Media,2,reads/Chr18_BT474_ER_2.bam,BT474c,reads/Chr18_BT474_input.bam,peaks/BT474_ER_2.bed.gz,MACS,bed,5,F
MCF7.1+,MCF7,ER,Responsive,Full_Media,1,reads/Chr18_MCF7_ER_1.bam,MCF7c,reads/Chr18_MCF7_input.bam,peaks/MCF7_ER_1.bed.gz,MACS,bed,5,F
MCF7.2+,MCF7,ER,Responsive,Full_Media,2,reads/Chr18_MCF7_ER_2.bam,MCF7c,reads/Chr18_MCF7_input.bam,peaks/MCF7_ER_2.bed.gz,MACS,bed,5,F
MCF7.3+,MCF7,ER,Responsive,Full_Media,3,reads/Chr18_MCF7_ER_3.bam,MCF7c,reads/Chr18_MCF7_input.bam,peaks/MCF7_ER_3.bed.gz,MACS,bed,5,F
T47D.1+,T47D,ER,Responsive,Full_Media,1,reads/Chr18_T47D_ER_1.bam,T47Dc,reads/Chr18_T47D_input.bam,peaks/T47D_ER_1.bed.gz,MACS,bed,5,F
T47D.2+,T47D,ER,Responsive,Full_Media,2,reads/Chr18_T47D_ER_2.bam,T47Dc,reads/Chr18_T47D_input.bam,peaks/T47D_ER_2.bed.gz,MACS,bed,5,F
MCF7.1-,MCF7,ER,Resistant,Full_Media,1,reads/Chr18_TAMR_ER_1.bam,TAMRc,reads/Chr18_TAMR_input.bam,peaks/TAMR_ER_1.bed.gz,MACS,bed,5,F
MCF7.2-,MCF7,ER,Resistant,Full_Media,2,reads/Chr18_TAMR_ER_2.bam,TAMRc,reads/Chr18_TAMR_input.bam,peaks/TAMR_ER_2.bed.gz,MACS,bed,5,F
ZR75.1+,ZR75,ER,Responsive,Full_Media,1,reads/Chr18_ZR75_ER_1.bam,ZR75c,reads/Chr18_ZR75_input.bam,peaks/ZR75_ER_1.bed.gz,MACS,bed,5,F
ZR75.2+,ZR75,ER,Responsive,Full_Media,2,reads/Chr18_ZR75_ER_2.bam,ZR75c,reads/Chr18_ZR75_input.bam,peaks/ZR75_ER_2.bed.gz,MACS,bed,5,F
